System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:38:16:198, 76600136252440,    0.022,   14.000, 1700,   7.775,   0.170,   0.047,   5.360,   0.117,   0.033, 47,  0,   0.000,   0.000,   0.000,   0.050,   0.001,   0.000,  30.000,  60.000, 105.000,  60.000, 100.000,   68,  86.289
13:38:16:261, 76600312602851,    0.085,   17.000, 1600,   4.649,   0.462,   0.128,   2.121,   0.251,   0.070, 43,  0,   0.000,   0.000,   0.000,   0.155,   0.011,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  319,  49.564
13:38:16:292, 76600400382946,    0.116,   15.000, 1600,   3.561,   0.574,   0.159,   1.134,   0.286,   0.079, 43,  0,   0.000,   0.000,   0.000,   0.062,   0.013,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,   65,  27.673
13:38:16:323, 76600488076006,    0.147,   15.000, 1700,   5.192,   0.736,   0.205,   2.626,   0.368,   0.102, 44,  0,   0.000,   0.000,   0.000,   0.074,   0.015,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  29.400
13:38:16:355, 76600576418112,    0.179,    6.000, 1500,   3.182,   0.837,   0.232,   0.794,   0.393,   0.109, 44,  0,   0.000,   0.000,   0.000,   0.190,   0.021,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  25.702
13:38:16:386, 76600664510563,    0.210,    8.000, 1300,   4.007,   0.963,   0.267,   0.890,   0.421,   0.117, 44,  0,   0.000,   0.000,   0.000,   0.361,   0.032,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  28.048
13:38:16:403, 76600711480180,    0.227,   21.000, 1300,   4.018,   1.030,   0.286,   0.605,   0.431,   0.120, 43,  0,   0.000,   0.000,   0.000,   0.175,   0.035,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  26.078
13:38:16:445, 76600830704291,    0.270,   12.000, 1300,   5.476,   1.263,   0.351,   2.176,   0.524,   0.146, 43,  0,   0.000,   0.000,   0.000,   0.227,   0.045,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,  136,  61.055
13:38:16:477, 76600920597371,    0.302,    5.000, 1200,   4.360,   1.403,   0.390,   0.978,   0.555,   0.154, 43,  0,   0.000,   0.000,   0.000,   0.381,   0.057,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   59,  87.103
13:38:16:509, 76601008966937,    0.333,   12.000, 1300,   3.797,   1.522,   0.423,   0.693,   0.577,   0.160, 43,  0,   0.000,   0.000,   0.000,   0.267,   0.066,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,  525,  24.559
13:38:16:540, 76601096979310,    0.365,   24.000, 1300,   4.292,   1.657,   0.460,   1.046,   0.610,   0.169, 43,  0,   0.000,   0.000,   0.000,   0.159,   0.071,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,  101,  28.110
13:38:16:557, 76601141909913,    0.381,   18.000, 1400,   5.080,   1.739,   0.483,   2.369,   0.648,   0.180, 43,  0,   0.000,   0.000,   0.000,   0.129,   0.073,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,  531,  24.079
13:38:16:588, 76601230498771,    0.412,   12.000, 1400,   3.766,   1.858,   0.516,   0.904,   0.677,   0.188, 43,  0,   0.000,   0.000,   0.000,   0.328,   0.083,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,  168,  25.079
13:38:16:619, 76601317808016,    0.443,    9.000, 1300,   4.074,   1.984,   0.551,   1.074,   0.710,   0.197, 43,  0,   0.000,   0.000,   0.000,   0.169,   0.088,   0.025,  30.000,  60.000, 105.000,  60.000, 100.000,   85,  26.831
13:38:16:651, 76601406474124,    0.475,   14.000, 1300,   3.361,   2.091,   0.581,   0.436,   0.724,   0.201, 44,  0,   0.000,   0.000,   0.000,   0.247,   0.096,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,   87,  28.462
13:38:16:698, 76601538141390,    0.522,    9.000, 1200,   4.673,   2.310,   0.642,   1.302,   0.785,   0.218, 44,  0,   0.000,   0.000,   0.000,   0.177,   0.104,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,   85,  29.484
13:38:16:729, 76601626210270,    0.553,    6.000, 1200,   4.033,   2.437,   0.677,   0.781,   0.809,   0.225, 43,  0,   0.000,   0.000,   0.000,   0.373,   0.116,   0.032,  30.000,  60.000, 105.000,  60.000, 100.000,   57,  23.424
13:38:16:745, 76601670070074,    0.569,   12.000, 1300,   5.383,   2.521,   0.700,   1.638,   0.835,   0.232, 44,  0,   0.000,   0.000,   0.000,   0.351,   0.122,   0.034,  30.000,  60.000, 105.000,  60.000, 100.000,   86,  26.906
13:38:16:792, 76601801738535,    0.616,   14.000, 1500,   4.514,   2.733,   0.759,   1.954,   0.927,   0.257, 43,  0,   0.000,   0.000,   0.000,   0.091,   0.126,   0.035,  30.000,  60.000, 105.000,  60.000, 100.000,   82,  67.895
13:38:16:839, 76601933475491,    0.663,   16.000, 1600,   4.840,   2.961,   0.822,   2.470,   1.043,   0.290, 44,  0,   0.000,   0.000,   0.000,   0.031,   0.127,   0.035,  30.000,  60.000, 105.000,  60.000, 100.000,   23,  85.907
13:38:16:871, 76602022826959,    0.695,   18.000, 1600,   5.310,   3.130,   0.869,   2.738,   1.130,   0.314, 44,  0,   0.000,   0.000,   0.000,   0.107,   0.131,   0.036,  30.000,  60.000, 105.000,  60.000, 100.000,   99,  74.427
13:38:16:914, 76602145063709,    0.738,   35.000, 3800,   4.647,   3.333,   0.926,   2.206,   1.226,   0.341, 44,  0,   0.000,   0.000,   0.000,   0.101,   0.135,   0.038,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  21.596
13:38:16:930, 76602188885244,    0.754,   16.000, 1600,   8.890,   3.472,   0.964,   5.083,   1.306,   0.363, 44,  0,   0.000,   0.000,   0.000,   0.578,   0.144,   0.040,  30.000,  60.000, 105.000,  60.000, 100.000,   67,  45.597
13:38:16:966, 76602289789540,    0.790,    4.000, 1300,   4.983,   3.651,   1.014,   1.468,   1.359,   0.377, 43,  0,   0.000,   0.000,   0.000,   0.373,   0.158,   0.044,  30.000,  60.000, 105.000,  60.000, 100.000,  261,  47.667
13:38:16:997, 76602377421733,    0.821,    3.000, 1300,   3.241,   3.752,   1.042,   0.808,   1.384,   0.384, 44,  0,   0.000,   0.000,   0.000,   0.359,   0.169,   0.047,  30.000,  60.000, 105.000,  60.000, 100.000,   90,  25.134
13:38:17:013, 76602421491401,    0.837,    5.000, 1300,   5.148,   3.833,   1.065,   1.258,   1.404,   0.390, 43,  0,   0.000,   0.000,   0.000,   0.365,   0.175,   0.049,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  28.210
13:38:17:044, 76602509260970,    0.868,    3.000, 1200,   3.686,   3.949,   1.097,   0.694,   1.426,   0.396, 43,  0,   0.000,   0.000,   0.000,   0.327,   0.185,   0.051,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  23.416
13:38:17:076, 76602599038498,    0.900,    3.000, 1200,   3.564,   4.063,   1.129,   0.614,   1.445,   0.401, 44,  0,   0.000,   0.000,   0.000,   0.351,   0.196,   0.054,  30.000,  60.000, 105.000,  60.000, 100.000,  103,  31.752
13:38:17:107, 76602686515031,    0.932,    3.000, 1200,   3.749,   4.180,   1.161,   0.739,   1.468,   0.408, 43,  0,   0.000,   0.000,   0.000,   0.415,   0.209,   0.058,  30.000,  60.000, 105.000,  60.000, 100.000,  580,  10.950
13:38:17:139, 76602774177329,    0.963,    5.000, 1200,   3.847,   4.300,   1.194,   0.582,   1.486,   0.413, 43,  0,   0.000,   0.000,   0.000,   0.328,   0.219,   0.061,  30.000,  60.000, 105.000,  60.000, 100.000,   68,  56.992
13:38:17:171, 76602863810142,    0.995,    4.000, 1200,   3.989,   4.428,   1.230,   1.035,   1.520,   0.422, 43,  0,   0.000,   0.000,   0.000,   0.332,   0.230,   0.064,  30.000,  60.000, 105.000,  60.000, 100.000,  580,  21.483
13:38:17:202, 76602951242524,    1.026,    4.000, 1200,   3.260,   4.529,   1.258,   0.474,   1.534,   0.426, 44,  0,   0.000,   0.000,   0.000,   0.360,   0.241,   0.067,  30.000,  60.000, 105.000,  60.000, 100.000,  105,  25.106
13:38:17:233, 76603038980613,    1.057,    4.000, 1200,   3.900,   4.651,   1.292,   0.702,   1.556,   0.432, 43,  0,   0.000,   0.000,   0.000,   0.367,   0.253,   0.070,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  28.432
13:38:17:265, 76603128362601,    1.089,    4.000, 1200,   3.957,   4.778,   1.327,   0.762,   1.581,   0.439, 44,  0,   0.000,   0.000,   0.000,   0.306,   0.262,   0.073,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  26.565
13:38:17:296, 76603216508774,    1.121,    6.000, 1200,   4.008,   4.904,   1.362,   0.885,   1.608,   0.447, 43,  0,   0.000,   0.000,   0.000,   0.373,   0.274,   0.076,  30.000,  60.000, 105.000,  60.000, 100.000,  155,  38.653
13:38:17:328, 76603303930447,    1.152,    8.000, 1300,   3.368,   5.009,   1.391,   0.450,   1.622,   0.451, 43,  0,   0.000,   0.000,   0.000,   0.364,   0.286,   0.079,  30.000,  60.000, 105.000,  60.000, 100.000,  239,  23.425
13:38:17:359, 76603392824135,    1.184,   14.000, 1400,   4.186,   5.141,   1.428,   1.863,   1.682,   0.467, 43,  0,   0.000,   0.000,   0.000,   0.081,   0.288,   0.080,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  23.643
13:38:17:406, 76603524225587,    1.230,   23.000, 1600,   4.417,   5.348,   1.486,   2.016,   1.776,   0.493, 43,  0,   0.000,   0.000,   0.000,   0.057,   0.291,   0.081,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  25.248
13:38:17:438, 76603611721728,    1.262,   25.000, 1500,   4.148,   5.478,   1.522,   1.952,   1.837,   0.510, 43,  0,   0.000,   0.000,   0.000,   0.086,   0.293,   0.082,  30.000,  60.000, 105.000,  60.000, 100.000,   62,  34.774
13:38:17:477, 76603722840298,    1.301,   15.000, 1500,   8.272,   5.806,   1.613,   5.368,   2.050,   0.569, 43,  0,   0.000,   0.000,   0.000,   0.172,   0.300,   0.083,  30.000,  60.000, 105.000,  60.000, 100.000,   44,  70.556
13:38:17:540, 76603898844849,    1.364,    9.000, 1400,   4.203,   6.070,   1.686,   1.569,   2.148,   0.597, 44,  0,   0.000,   0.000,   0.000,   0.128,   0.308,   0.086,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  22.572
13:38:17:556, 76603943236973,    1.380,    7.000, 1400,   4.201,   6.136,   1.704,   0.663,   2.159,   0.600, 43,  0,   0.000,   0.000,   0.000,   0.301,   0.313,   0.087,  30.000,  60.000, 105.000,  60.000, 100.000,   43,  26.529
13:38:17:588, 76604032717244,    1.412,   13.000, 1300,   4.187,   6.270,   1.742,   1.251,   2.199,   0.611, 43,  0,   0.000,   0.000,   0.000,   0.241,   0.321,   0.089,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  20.754
13:38:17:603, 76604076827853,    1.428,    6.000, 1300,   3.755,   6.329,   1.758,   0.822,   2.212,   0.614, 43,  0,   0.000,   0.000,   0.000,   0.396,   0.327,   0.091,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  30.818
13:38:17:635, 76604164384665,    1.459,    3.000, 1200,   3.365,   6.434,   1.787,   0.414,   2.224,   0.618, 43,  0,   0.000,   0.000,   0.000,   0.363,   0.338,   0.094,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  22.955
13:38:17:666, 76604252607574,    1.490,    3.000, 1200,   3.539,   6.545,   1.818,   0.783,   2.249,   0.625, 44,  0,   0.000,   0.000,   0.000,   0.345,   0.349,   0.097,  30.000,  60.000, 105.000,  60.000, 100.000,  164,  20.908
13:38:17:697, 76604340299416,    1.522,    4.000, 1200,   4.316,   6.680,   1.856,   0.944,   2.279,   0.633, 43,  0,   0.000,   0.000,   0.000,   0.328,   0.359,   0.100,  30.000,  60.000, 105.000,  60.000, 100.000,  112,  27.196
13:38:17:729, 76604428096399,    1.553,    3.000, 1200,   4.104,   6.809,   1.891,   0.865,   2.306,   0.640, 43,  0,   0.000,   0.000,   0.000,   0.285,   0.368,   0.102,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  23.527
13:38:17:760, 76604516385359,    1.584,    4.000, 1200,   3.537,   6.920,   1.922,   0.686,   2.327,   0.646, 43,  0,   0.000,   0.000,   0.000,   0.364,   0.380,   0.106,  30.000,  60.000, 105.000,  60.000, 100.000,   62,  54.056
13:38:17:792, 76604604448193,    1.616,    6.000, 1300,   4.251,   7.054,   1.959,   0.901,   2.356,   0.654, 43,  0,   0.000,   0.000,   0.000,   0.276,   0.389,   0.108,  30.000,  60.000, 105.000,  60.000, 100.000,  571,  21.739
13:38:17:823, 76604692014513,    1.647,    5.000, 1300,   3.921,   7.176,   1.993,   0.832,   2.382,   0.662, 43,  0,   0.000,   0.000,   0.000,   0.336,   0.399,   0.111,  30.000,  60.000, 105.000,  60.000, 100.000,  145,  38.963
13:38:17:854, 76604780033501,    1.678,    3.000, 1200,   3.050,   7.272,   2.020,   0.591,   2.400,   0.667, 44,  0,   0.000,   0.000,   0.000,   0.257,   0.407,   0.113,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  21.379
13:38:17:870, 76604824309256,    1.694,    6.000, 1200,   4.154,   7.338,   2.038,   0.750,   2.412,   0.670, 43,  0,   0.000,   0.000,   0.000,   0.394,   0.413,   0.115,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  25.644
13:38:17:901, 76604911863711,    1.725,    7.000, 1200,   3.594,   7.450,   2.069,   0.836,   2.438,   0.677, 43,  0,   0.000,   0.000,   0.000,   0.352,   0.424,   0.118,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  25.068
13:38:17:933, 76604999441735,    1.757,   17.000, 1200,   4.782,   7.599,   2.111,   1.782,   2.494,   0.693, 43,  0,   0.000,   0.000,   0.000,   0.313,   0.434,   0.121,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  23.821
13:38:17:976, 76605122368240,    1.801,   16.000, 1400,   4.919,   7.815,   2.171,   1.790,   2.572,   0.715, 43,  0,   0.000,   0.000,   0.000,   0.198,   0.443,   0.123,  30.000,  60.000, 105.000,  60.000, 100.000,  109,  49.158
13:38:18:039, 76605297203655,    1.863,   14.000, 1600,   4.221,   8.078,   2.244,   1.538,   2.668,   0.741, 44,  0,   0.000,   0.000,   0.000,   0.119,   0.450,   0.125,  30.000,  60.000, 105.000,  60.000, 100.000,  554,  27.096
13:38:18:071, 76605386760313,    1.895,   29.000, 1600,   5.649,   8.259,   2.294,   3.351,   2.775,   0.771, 43,  0,   0.000,   0.000,   0.000,   0.134,   0.454,   0.126,  30.000,  60.000, 105.000,  60.000, 100.000,   49,  39.910
13:38:18:118, 76605518616021,    1.942,   82.000, 3400,  16.756,   9.047,   2.513,  14.061,   3.437,   0.955, 48,  0,   0.000,   0.000,   0.000,   0.060,   0.457,   0.127,  30.000,  60.000, 105.000,  60.000, 100.000,   49,  63.869
13:38:18:152, 76605614821339,    1.976,   63.000, 3500,  24.710,   9.895,   2.749,  20.285,   4.133,   1.148, 49,  0,   0.000,   0.000,   0.000,   0.164,   0.463,   0.129,  30.000,  60.000, 105.000,  60.000, 100.000,  575,  19.836
13:38:18:183, 76605702352173,    2.007,   72.000, 3800,  25.055,  10.677,   2.966,  22.252,   4.828,   1.341, 48,  0,   0.000,   0.000,   0.000,   0.109,   0.466,   0.130,  30.000,  60.000, 105.000,  60.000, 100.000,   97,  45.389
13:38:18:199, 76605747371500,    2.024,   72.000, 3800,  19.542,  10.991,   3.053,  15.825,   5.082,   1.412, 51,  0,   0.000,   0.000,   0.000,   0.152,   0.469,   0.130,  30.000,  60.000, 105.000,  60.000, 100.000,   69,  49.916
13:38:18:231, 76605835986750,    2.055,   53.000, 1200,  34.182,  12.072,   3.353,  30.270,   6.039,   1.677, 47,  0,   0.000,   0.000,   0.000,   0.093,   0.472,   0.131,  30.000,  60.000, 105.000,  60.000, 100.000,  577,  23.322
13:38:18:247, 76605879882765,    2.071,   64.000, 3900,  11.066,  12.245,   3.401,   7.250,   6.152,   1.709, 50,  0,   0.000,   0.000,   0.000,   0.094,   0.473,   0.131,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  44.736
13:38:18:273, 76605952553914,    2.097,   58.000, 2400,  30.640,  13.039,   3.622,  25.729,   6.819,   1.894, 47,  0,   0.000,   0.000,   0.000,   0.132,   0.477,   0.132,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  41.607
13:38:18:288, 76605995747432,    2.112,   28.000, 1800,  11.955,  13.224,   3.673,   8.770,   6.954,   1.932, 47,  0,   0.000,   0.000,   0.000,   0.261,   0.481,   0.133,  30.000,  60.000, 105.000,  60.000, 100.000,  113,  46.672
13:38:18:304, 76606039571863,    2.128,   25.000, 1500,   2.510,  13.263,   3.684,   1.070,   6.971,   1.936, 46,  0,   0.000,   0.000,   0.000,   0.125,   0.483,   0.134,  30.000,  60.000, 105.000,  60.000, 100.000,  191,  31.541
13:38:18:319, 76606083554176,    2.143,   20.000, 1500,   4.042,  13.326,   3.702,   1.043,   6.988,   1.941, 46,  0,   0.000,   0.000,   0.000,   0.132,   0.485,   0.135,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  29.093
13:38:18:335, 76606127665252,    2.159,   26.000, 1500,   6.470,  13.428,   3.730,   3.289,   7.039,   1.955, 45,  0,   0.000,   0.000,   0.000,   0.279,   0.489,   0.136,  30.000,  60.000, 105.000,  60.000, 100.000,  160,  54.104
13:38:18:351, 76606171254182,    2.175,   15.000, 1500,   7.666,  13.547,   3.763,   4.098,   7.103,   1.973, 45,  0,   0.000,   0.000,   0.000,   0.165,   0.492,   0.137,  30.000,  60.000, 105.000,  60.000, 100.000,  580,  21.222
13:38:18:367, 76606216694884,    2.191,   17.000, 1500,   5.557,  13.637,   3.788,   2.824,   7.149,   1.986, 44,  0,   0.000,   0.000,   0.000,   0.264,   0.496,   0.138,  30.000,  60.000, 105.000,  60.000, 100.000,  189,  34.987
13:38:18:382, 76606260501450,    2.207,   18.000, 1500,   4.163,  13.702,   3.806,   1.570,   7.173,   1.993, 46,  0,   0.000,   0.000,   0.000,   0.258,   0.500,   0.139,  30.000,  60.000, 105.000,  60.000, 100.000,  182,  39.934
13:38:18:398, 76606304345976,    2.222,   19.000, 1700,   4.523,  13.773,   3.826,   1.850,   7.202,   2.001, 45,  0,   0.000,   0.000,   0.000,   0.265,   0.504,   0.140,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  33.462
13:38:18:414, 76606348311309,    2.238,   17.000, 1500,   5.763,  13.864,   3.851,   3.082,   7.251,   2.014, 45,  0,   0.000,   0.000,   0.000,   0.132,   0.506,   0.141,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  28.364
13:38:18:429, 76606391888001,    2.253,   41.000, 1400,   5.085,  13.943,   3.873,   2.371,   7.287,   2.024, 44,  0,   0.000,   0.000,   0.000,   0.157,   0.509,   0.141,  30.000,  60.000, 105.000,  60.000, 100.000,  125,  53.918
13:38:18:462, 76606482423054,    2.286,   51.000, 1500,   9.638,  14.254,   3.959,   6.425,   7.495,   2.082, 44,  0,   0.000,   0.000,   0.000,   0.174,   0.514,   0.143,  30.000,  60.000, 105.000,  60.000, 100.000,  569,  24.476
13:38:18:484, 76606544943454,    2.308,   22.000, 1400,   4.546,  14.355,   3.988,   1.106,   7.520,   2.089, 44,  0,   0.000,   0.000,   0.000,   0.350,   0.522,   0.145,  30.000,  60.000, 105.000,  60.000, 100.000,  191,  33.165
13:38:18:500, 76606588811731,    2.324,   19.000, 2000,   5.971,  14.449,   4.014,   2.426,   7.558,   2.099, 44,  0,   0.000,   0.000,   0.000,   0.702,   0.533,   0.148,  30.000,  60.000, 105.000,  60.000, 100.000,  234,  60.132
13:38:18:515, 76606632589058,    2.339,   26.000, 3700,   4.467,  14.518,   4.033,   1.868,   7.587,   2.107, 45,  0,   0.000,   0.000,   0.000,   0.149,   0.535,   0.149,  30.000,  60.000, 105.000,  60.000, 100.000,  223,  33.172
13:38:18:531, 76606677480833,    2.355,   25.000, 4000,   4.509,  14.591,   4.053,   1.403,   7.609,   2.114, 45,  0,   0.000,   0.000,   0.000,   0.175,   0.538,   0.149,  30.000,  60.000, 105.000,  60.000, 100.000,  189,  41.413
13:38:18:579, 76606810159717,    2.403,  111.000, 1600,  10.448,  15.085,   4.190,   7.699,   7.974,   2.215, 43,  0,   0.000,   0.000,   0.000,   0.062,   0.541,   0.150,  30.000,  60.000, 105.000,  60.000, 100.000,  182,  43.483
13:38:18:595, 76606855161327,    2.419,   45.000, 1500,  16.550,  15.351,   4.264,  13.558,   8.191,   2.275, 48,  0,   0.000,   0.000,   0.000,   0.236,   0.545,   0.151,  30.000,  60.000, 105.000,  60.000, 100.000,   62,  43.158
13:38:18:626, 76606942819064,    2.450,   48.000, 1600,  14.896,  15.817,   4.394,  12.211,   8.573,   2.381, 50,  0,   0.000,   0.000,   0.000,   0.133,   0.549,   0.152,  30.000,  60.000, 105.000,  60.000, 100.000,  182,  33.416
13:38:18:667, 76607058087194,    2.491,   43.000, 3900,  15.661,  16.461,   4.572,  13.163,   9.114,   2.532, 46,  0,   0.000,   0.000,   0.000,   0.071,   0.552,   0.153,  30.000,  60.000, 105.000,  60.000, 100.000,   44,  48.954
13:38:18:685, 76607107917526,    2.509,   15.000, 1500,   8.618,  16.614,   4.615,   6.050,   9.222,   2.562, 44,  0,   0.000,   0.000,   0.000,   0.254,   0.556,   0.155,  30.000,  60.000, 105.000,  60.000, 100.000,  577,  23.584
13:38:18:700, 76607151644862,    2.524,   24.000, 1500,   5.748,  16.703,   4.640,   2.739,   9.265,   2.574, 44,  0,   0.000,   0.000,   0.000,   0.219,   0.560,   0.156,  30.000,  60.000, 105.000,  60.000, 100.000,  165,  34.580
13:38:18:732, 76607239044290,    2.556,   52.000, 2000,   5.669,  16.880,   4.689,   2.901,   9.355,   2.599, 44,  0,   0.000,   0.000,   0.000,   0.063,   0.562,   0.156,  30.000,  60.000, 105.000,  60.000, 100.000,   83,  65.359
13:38:18:764, 76607328786909,    2.588,   47.000, 1400,   7.319,  17.115,   4.754,   4.213,   9.490,   2.636, 44,  0,   0.000,   0.000,   0.000,   0.118,   0.566,   0.157,  30.000,  60.000, 105.000,  60.000, 100.000,  570,  22.254
13:38:18:795, 76607416454234,    2.619,   30.000, 1400,   4.731,  17.263,   4.795,   2.077,   9.555,   2.654, 43,  0,   0.000,   0.000,   0.000,   0.074,   0.568,   0.158,  30.000,  60.000, 105.000,  60.000, 100.000,  105,  29.512
13:38:18:810, 76607460116575,    2.635,   38.000, 2000,   6.571,  17.365,   4.824,   3.707,   9.613,   2.670, 44,  0,   0.000,   0.000,   0.000,   0.329,   0.573,   0.159,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  28.293
13:38:18:826, 76607504303164,    2.650,   22.000, 1500,   7.194,  17.478,   4.855,   4.631,   9.686,   2.690, 44,  0,   0.000,   0.000,   0.000,   0.163,   0.576,   0.160,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  32.503
13:38:18:842, 76607549793707,    2.667,   42.000, 1400,   7.315,  17.597,   4.888,   4.416,   9.757,   2.710, 43,  0,   0.000,   0.000,   0.000,   0.135,   0.578,   0.160,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  28.646
13:38:18:874, 76607637491030,    2.698,   40.000, 1500,   6.858,  17.812,   4.948,   3.914,   9.880,   2.744, 44,  0,   0.000,   0.000,   0.000,   0.308,   0.587,   0.163,  30.000,  60.000, 105.000,  60.000, 100.000,  218,  44.773
13:38:18:905, 76607726937957,    2.730,   28.000, 1400,   8.020,  18.067,   5.019,   5.417,  10.053,   2.792, 43,  0,   0.000,   0.000,   0.000,   0.111,   0.591,   0.164,  30.000,  60.000, 105.000,  60.000, 100.000,  211,  26.497
13:38:18:921, 76607770242811,    2.745,   18.000, 1600,   4.544,  18.138,   5.038,   2.078,  10.085,   2.801, 43,  0,   0.000,   0.000,   0.000,   0.134,   0.593,   0.165,  30.000,  60.000, 105.000,  60.000, 100.000,   85,  31.600
13:38:18:937, 76607814190179,    2.761,   17.000, 1500,   3.009,  18.185,   5.051,   1.783,  10.113,   2.809, 44,  0,   0.000,   0.000,   0.000,   0.148,   0.595,   0.165,  30.000,  60.000, 105.000,  60.000, 100.000,  175,  27.257
13:38:18:954, 76607861140606,    2.778,   20.000, 1400,   7.288,  18.307,   5.085,   3.695,  10.175,   2.826, 44,  0,   0.000,   0.000,   0.000,   0.131,   0.598,   0.166,  30.000,  60.000, 105.000,  60.000, 100.000,  172,  30.623
13:38:18:986, 76607952347746,    2.810,   41.000, 1300,   6.123,  18.506,   5.141,   2.881,  10.268,   2.852, 44,  0,   0.000,   0.000,   0.000,   0.300,   0.607,   0.169,  30.000,  60.000, 105.000,  60.000, 100.000,  184,  48.687
13:38:19:003, 76607999417343,    2.827,   64.000, 1400,   5.431,  18.597,   5.166,   2.421,  10.309,   2.864, 44,  0,   0.000,   0.000,   0.000,   0.109,   0.609,   0.169,  30.000,  60.000, 105.000,  60.000, 100.000,  199,  24.895
13:38:19:021, 76608050134036,    2.845,   29.000, 2000,   4.635,  18.681,   5.189,   1.653,  10.339,   2.872, 44,  0,   0.000,   0.000,   0.000,   0.337,   0.615,   0.171,  30.000,  60.000, 105.000,  60.000, 100.000,  233,  42.789
13:38:19:037, 76608094327938,    2.861,   22.000, 1400,   4.568,  18.753,   5.209,   1.595,  10.364,   2.879, 43,  0,   0.000,   0.000,   0.000,   0.201,   0.618,   0.172,  30.000,  60.000, 105.000,  60.000, 100.000,  189,  31.335
13:38:19:052, 76608137934308,    2.876,   50.000, 2700,   5.587,  18.840,   5.233,   2.542,  10.404,   2.890, 43,  0,   0.000,   0.000,   0.000,   0.141,   0.621,   0.172,  30.000,  60.000, 105.000,  60.000, 100.000,  171,  30.156
13:38:19:068, 76608182833786,    2.892,   30.000, 3100,   9.858,  18.998,   5.277,   5.503,  10.492,   2.914, 44,  0,   0.000,   0.000,   0.000,   0.259,   0.625,   0.174,  30.000,  60.000, 105.000,  60.000, 100.000,  105,  58.239
13:38:19:084, 76608227031714,    2.908,   66.000, 1400,  13.518,  19.211,   5.336,  10.065,  10.650,   2.958, 44,  0,   0.000,   0.000,   0.000,   0.108,   0.626,   0.174,  30.000,  60.000, 105.000,  60.000, 100.000,   72,  85.547
13:38:19:116, 76608315542700,    2.940,   71.000, 1400,  10.172,  19.532,   5.426,   6.642,  10.860,   3.017, 44,  0,   0.000,   0.000,   0.000,   0.112,   0.630,   0.175,  30.000,  60.000, 105.000,  60.000, 100.000,  532,  27.519
13:38:19:147, 76608404879071,    2.972,   42.000, 1400,   6.872,  19.751,   5.486,   4.233,  10.995,   3.054, 44,  0,   0.000,   0.000,   0.000,   0.092,   0.633,   0.176,  30.000,  60.000, 105.000,  60.000, 100.000,   91,  24.534
